timestamp,model,duration_sec,Accuracy,Balanced Accuracy,Precision Red,Recall Red,F1 Red,Precision Blue,Recall Blue,F1 Blue,ROC AUC,Brier Score,MCC,Kappa,param_metric,param_n_neighbors,param_weights,param_C,param_gamma,param_kernel,param_penalty,param_solver,param_max_depth,param_n_estimators,param_learning_rate,param_var_smoothing,param_reg_param,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate_init,param_momentum,param_validation_fraction,param_colsample_bytree,param_subsample
2025-07-24 00:16:11,Support Vector Machine (without odds),299.63,0.6145,0.5665,0.6204,0.8651,0.7226,0.5895,0.2679,0.3683,0.6054,0.2351,0.1671,0.1439,,,,2.0,auto,linear,,,,,,,,,,,,,,,,,
2025-07-24 00:16:56,Logistic Regression (without odds),45.09,0.607,0.5751,0.6319,0.7733,0.6955,0.546,0.377,0.446,0.6172,0.2442,0.1635,0.157,,,,0.0001,,,l2,liblinear,,,,,,,,,,,,,,,
2025-07-24 00:17:19,Random Forest (without odds),22.85,0.6045,0.5584,0.6161,0.8451,0.7126,0.5592,0.2718,0.3658,0.6086,0.2344,0.1431,0.1258,,,,,,,,,10.0,100.0,,,,,,,,,,,,,
2025-07-24 00:17:39,AdaBoost (without odds),20.07,0.5887,0.5552,0.6179,0.7633,0.6829,0.5147,0.3472,0.4147,0.5926,0.2384,0.121,0.1157,,,,,,,,,,100.0,1.0,,,,,,,,,,,,
2025-07-24 00:17:42,Naive Bayes (without odds),2.18,0.5845,0.5758,0.6456,0.6298,0.6376,0.5048,0.5218,0.5132,0.6038,0.275,0.151,0.151,,,,,,,,,,,,1e-08,,,,,,,,,,,
2025-07-24 00:29:54,K-Nearest Neighbors,6.68,0.6095,0.5811,0.6377,0.7575,0.6925,0.5469,0.4048,0.4652,0.6373,0.2331,0.1731,0.1684,euclidean,15.0,distance,,,,,,,,,,,,,,,,,,,,
2025-07-24 00:52:45,K-Nearest Neighbors,7.29,0.6145,0.5929,0.65,0.7274,0.6865,0.5487,0.4583,0.4995,0.6221,0.2376,0.1921,0.1901,euclidean,15.0,uniform,,,,,,,,,,,,,,,,,,,,
2025-07-24 00:53:16,Logistic Regression,23.05,0.6428,0.6274,0.6811,0.7231,0.7015,0.5813,0.5317,0.5554,0.6963,0.2167,0.2586,0.2579,,,,0.05,,,l1,liblinear,,,,,,,,,,,,,,,
2025-07-24 01:07:03,Logistic Regression,23.2,0.6428,0.6274,0.6811,0.7231,0.7015,0.5813,0.5317,0.5554,0.6963,0.2167,0.2586,0.2579,,,,0.05,,,l1,liblinear,,,,,,,,,,,,,,,
2025-07-24 01:10:27,K-Nearest Neighbors,6.67,0.6078,0.5849,0.6434,0.7274,0.6828,0.54,0.4425,0.4864,0.6234,0.2377,0.1765,0.1742,euclidean,15.0,distance,,,,,,,,,,,,,,,,,,,,
2025-07-24 01:13:35,Support Vector Machine,73.64,0.6436,0.6276,0.6805,0.7274,0.7032,0.5833,0.5278,0.5542,0.6976,0.2162,0.2595,0.2586,,,,1.0,auto,linear,,,,,,,,,,,,,,,,,
2025-07-24 01:13:53,Random Forest,17.6,0.6461,0.6237,0.6717,0.7633,0.7146,0.5966,0.4841,0.5345,0.6876,0.2187,0.2576,0.254,,,,,,,,,10.0,100.0,,,,,,,,,,,,,
2025-07-24 01:14:09,AdaBoost,16.17,0.652,0.6361,0.6872,0.7346,0.7101,0.5943,0.5377,0.5646,0.6865,0.2277,0.2769,0.2759,,,,,,,,,,10.0,0.1,,,,,,,,,,,,
2025-07-24 01:14:12,Naive Bayes,2.17,0.607,0.61,0.6878,0.5911,0.6358,0.5266,0.629,0.5732,0.6627,0.2554,0.2172,0.2143,,,,,,,,,,,,1e-08,,,,,,,,,,,
