NumberOfRounds,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,label,Gender_MALE,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_OpenStance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,RedStance_OpenStance,BetterRank_Red,BetterRank_Blue,BetterRank_neither,FinishRate,WinRatio,ExpPerYear,ReachAdvantageRatio,HeightReachRatio,WinsByDecision,DecisionRate
3,1,-1,-1,-1,1,-2,0,0,0,-7.62,-5.08,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0,-1.0,-0.07967032967032968,1.03125,-0.015625,-1,-1.0
5,0,1,1,0,-1,14,5,2,-6,-10.16,2.54,3,0,1,1,0,0,0,0,1,0,0,1,0,0,-0.3333333333333333,0.07692307692307687,0.332068311195446,0.9859154929577465,-0.07042253521126773,4,0.3333333333333333
5,0,4,-1,0,0,-5,-2,-1,0,-12.7,-2.54,7,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.1111111111111111,0.0,-0.3558558558558559,1.0142857142857142,-0.05714285714285727,1,0.11111111111111105
3,0,0,0,6,4,29,0,-1,3,10.16,12.7,6,0,1,1,0,0,0,0,0,1,0,0,0,1,-0.25,-0.2857142857142857,0.8629807692307692,0.9358974358974358,-0.011064278187565946,4,0.25
3,1,-1,2,1,-1,2,0,-2,0,0.0,2.54,8,0,1,1,0,0,0,0,1,0,0,0,0,1,-1.0,0.19999999999999996,-0.013047530288909592,0.9866666666666667,-0.012972972972972951,3,1.0
3,3,-2,-1,-4,0,-5,0,-2,-2,0.0,-2.54,-2,1,1,0,0,1,0,1,0,0,0,0,0,1,0.0,-0.375,-0.14571746384872078,1.0128205128205128,0.012171372930866564,0,0.0
3,0,1,1,1,-1,-3,0,1,0,-2.54,-7.62,3,0,1,0,1,0,0,1,0,0,0,0,0,1,0.3333333333333333,0.33333333333333337,-0.1347926267281106,1.0428571428571427,0.02681017612524439,0,-0.33333333333333337
3,0,0,1,1,0,4,0,0,0,-2.54,2.54,-6,1,1,1,0,0,0,0,0,1,0,0,0,1,0.0,0.5,0.1616161616161616,0.9850746268656715,-0.029850746268656803,1,1.0
3,0,-1,-2,-3,-3,-14,0,-2,0,-5.08,-12.7,-8,0,1,1,0,0,0,1,0,0,0,0,0,1,-0.6666666666666666,-0.5,-0.5,1.0724637681159421,0.041519780650215554,-1,-0.3333333333333333
3,1,-1,-1,-1,1,-2,0,-1,0,-2.54,-2.54,3,0,1,1,0,0,0,0,0,1,0,0,0,1,-1.0,-1.0,-0.07219827586206896,1.0149253731343284,-0.0002194907813873881,0,0.0
3,0,0,-1,-2,0,-8,0,0,0,5.08,5.08,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,-0.16666666666666663,-0.3333333333333333,0.9682539682539681,0.0,-2,0.0
3,-2,1,-1,-1,-3,-11,0,-1,1,0.0,-10.16,3,1,1,0,0,1,0,1,0,0,0,0,0,1,0.5,0.6,-0.38254310344827586,1.0588235294117647,0.05555555555555558,-1,-0.5
3,0,-1,-3,-5,-2,-20,0,-2,0,5.08,10.16,-7,1,1,1,0,0,0,1,0,0,0,0,0,1,-0.4,-0.7142857142857143,-0.625,0.9444444444444444,-0.02777777777777768,-3,-0.6
5,-2,2,-3,-11,-5,-37,-2,-10,1,0.0,-2.54,-9,1,1,1,0,0,0,1,0,0,0,1,0,0,-0.0980392156862745,-0.01333333333333342,-0.8436293436293435,1.0128205128205128,0.012171372930866564,-2,0.0980392156862745
3,0,0,0,3,6,22,0,-1,-1,-10.16,-7.62,3,1,1,1,0,0,0,1,0,0,0,0,0,1,-0.6071428571428572,-0.30000000000000004,0.6487068965517242,1.04,-0.014358974358974375,5,0.6071428571428571
