RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FightStance,label
Zhang Mingyang,Ozzy Diaz,-225.0,210.0,44.4444,210.0,2024-11-23,"Macau, China",China,False,Light Heavyweight,MALE,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,193.04,200.66,205.0,0,2,0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,187.96,190.5,205.0,26.0,34.0,1,-2,-2,-2,1,0,0,-2,0,5.08,10.16,8,-6.36,0.0,0.0,neither,KO/TKO,Closed Stance,0
Baergeng Jieleyisi,SuYoung You,190.0,-230.0,190.0,43.4783,2024-11-23,"Macau, China",China,False,Bantamweight,MALE,3,0,2,0,2,0,6,0,0,1,1,0,0,0,2,Orthodox,167.64,165.1,135.0,0,2,0,2,1,8,0,0,0,1,0,1,0,2,Orthodox,175.26,177.8,135.0,28.0,28.0,0,0,0,0,-1,-2,0,0,-1,-7.62,-12.7,0,0.36,0.0,3.02,neither,U-DEC,Closed Stance,1
Kiru Sahota,DongHun Choi,102.0,-122.0,102.0,81.9672,2024-11-23,"Macau, China",China,False,Flyweight,MALE,3,0,2,0,2,0,6,0,0,2,0,0,0,0,2,Switch,165.1,167.64,125.0,0,2,0,2,0,6,0,0,1,1,0,0,0,2,Orthodox,177.8,185.42,125.0,29.0,25.0,0,0,0,0,0,0,0,0,0,-12.7,-17.78,-4,0.49,-0.5,-0.46,neither,KO/TKO,Open Stance,1
Shi Ming,Feng Xiaocan,380.0,-490.0,380.0,20.4082,2024-11-23,"Macau, China",China,False,Women's Strawweight,FEMALE,3,0,2,0,2,0,4,0,0,0,1,1,0,0,2,Southpaw,170.18,167.64,115.0,0,2,0,2,0,6,0,0,1,1,0,0,0,2,Orthodox,157.48,152.4,115.0,30.0,22.0,0,0,0,0,0,-2,0,1,0,12.7,15.24,-8,1.95,0.0,0.71,neither,KO/TKO,Open Stance,0
Nyamjargal Tumendemberel,Carlos Hernandez,102.0,-122.0,102.0,81.9672,2024-11-23,"Macau, China",China,False,Flyweight,MALE,3,2,0,0,2,3,15,0,0,2,1,0,0,0,3,Orthodox,172.72,170.18,125.0,0,2,0,2,0,4,0,0,1,0,0,1,0,2,Orthodox,170.18,180.34,125.0,26.0,31.0,2,-2,0,1,3,11,0,0,-1,2.54,-10.16,5,0.77,-2.2,-0.82,neither,S-DEC,Closed Stance,1
Lone'er Kavanagh,Jose Ochoa,-310.0,250.0,32.2581,250.0,2024-11-23,"Macau, China",China,False,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,170.18,125.0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,162.56,170.18,125.0,25.0,23.0,0,-1,-1,-1,0,-1,0,-1,0,7.62,0.0,-2,-0.29,1.0,0.0,neither,U-DEC,Open Stance,0
Xiao Long,Quang Le,-144.0,136.0,69.4444,136.0,2024-11-23,"Macau, China",China,False,Bantamweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,135.0,1,0,0,2,2,12,0,1,1,0,0,0,0,2,Orthodox,172.72,177.8,135.0,26.0,33.0,0,0,-2,-2,-1,-9,0,0,0,-5.08,0.0,7,-2.38,0.0,0.86,neither,KO/TKO,Closed Stance,0
Maheshate,Nikolas Motta,-245.0,200.0,40.8163,200.0,2024-11-23,"Macau, China",China,False,Lightweight,MALE,3,0,1,0,1,2,11,0,0,0,1,2,0,0,3,Orthodox,175.26,177.8,155.0,0,1,0,2,2,12,0,0,1,1,1,0,0,3,Orthodox,182.88,180.34,155.0,24.0,31.0,0,0,-1,0,0,-1,0,1,0,-7.62,-2.54,7,-0.22,0.0,0.0,neither,U-DEC,Closed Stance,1
Jon Jones,Stipe Miocic,-550.0,410.0,18.1818,410.0,2024-11-16,"New York City, New York, USA",USA,True,Heavyweight,MALE,5,1,0,0,6,4,46,8,0,0,5,9,0,0,14,Orthodox,193.04,203.2,240.0,0,18,0,18,1,74,16,0,1,9,5,6,0,21,Orthodox,193.04,213.36,248.0,37.0,42.0,1,-18,-12,-7,3,-28,-8,4,-6,0.0,-10.16,5,0.29,-0.5,-0.15,Red,KO/TKO,Closed Stance,0
Charles Oliveira,Michael Chandler,-265.0,215.0,37.7358,215.0,2024-11-16,"New York City, New York, USA",USA,False,Lightweight,MALE,3,1,0,0,3,3,14,1,0,0,0,3,1,0,4,Orthodox,172.72,180.34,155.0,1,0,0,11,10,63,3,0,0,2,4,16,0,22,Orthodox,177.8,187.96,155.0,35.0,38.0,0,0,-8,-18,-7,-49,-2,-1,-15,-5.08,-7.62,3,1.09,-2.1,-0.66,Red,U-DEC,Closed Stance,0
Bo Nickal,Paul Craig,-1350.0,800.0,7.4074,800.0,2024-11-16,"New York City, New York, USA",USA,False,Middleweight,MALE,3,2,0,1,4,8,34,0,0,0,0,3,6,0,9,Orthodox,190.5,193.04,185.0,0,5,0,5,0,6,0,0,0,0,1,4,0,5,Southpaw,185.42,193.04,185.0,28.0,36.0,2,-5,-1,4,8,28,0,2,2,5.08,0.0,8,-0.13,-2.2,-2.09,neither,U-DEC,Open Stance,0
Viviane Araujo,Karine Silva,235.0,-290.0,235.0,34.4828,2024-11-16,"New York City, New York, USA",USA,False,Women's Flyweight,FEMALE,3,0,5,0,5,0,8,0,0,0,1,0,4,0,5,Orthodox,165.1,170.18,125.0,1,0,0,2,5,35,0,0,0,5,1,0,0,6,Orthodox,162.56,172.72,125.0,37.0,30.0,-1,5,3,-1,-5,-27,0,-1,4,2.54,-2.54,-7,-1.0,1.2,0.93,Blue,U-DEC,Closed Stance,0
Mauricio Ruffy,James Llontop,-1000.0,650.0,10.0,650.0,2024-11-16,"New York City, New York, USA",USA,False,Catch Weight,MALE,3,2,0,0,1,2,7,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,155.0,0,2,0,2,0,4,0,0,0,0,2,0,0,2,Orthodox,180.34,190.5,155.0,28.0,25.0,2,-2,-1,-1,2,3,0,-2,0,2.54,-5.08,-3,0.87,0.0,0.0,neither,U-DEC,Closed Stance,0
Jonathan Martinez,Marcus McGhee,-105.0,-115.0,95.2381,86.9565,2024-11-16,"New York City, New York, USA",USA,False,Bantamweight,MALE,3,0,3,0,3,0,5,0,0,0,0,2,1,0,3,Orthodox,172.72,175.26,135.0,1,0,0,6,4,39,0,0,0,6,4,0,0,10,Southpaw,172.72,177.8,135.0,30.0,34.0,-1,3,-3,-7,-4,-34,0,-2,1,0.0,-2.54,4,1.62,0.4,0.08,Red,U-DEC,Open Stance,1
Jim Miller,Damon Jackson,195.0,-238.0,195.0,42.0168,2024-11-16,"New York City, New York, USA",USA,False,Lightweight,MALE,3,1,0,1,4,5,30,0,0,1,2,1,2,0,6,Switch,180.34,180.34,155.0,1,0,0,7,17,99,0,0,2,6,6,12,0,26,Southpaw,172.72,180.34,155.0,41.0,36.0,0,0,-3,-20,-12,-69,0,-5,-10,7.62,0.0,-5,-0.03,-0.5,0.78,neither,SUB,Open Stance,0
David Onama,Roberto Romero,-1450.0,850.0,6.8966,850.0,2024-11-16,"New York City, New York, USA",USA,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,155.0,0,2,0,2,2,14,0,0,0,1,2,1,0,4,Orthodox,180.34,187.96,145.0,30.0,24.0,0,-2,-2,-4,-2,-14,0,-2,-1,-7.62,-10.16,-6,-0.67,-0.6,-0.73,neither,U-DEC,Closed Stance,0
