BlueTotalTitleBouts,RedTotalTitleBouts,LoseStreakDif,WinStreakDif,LongestWinStreakDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,FightStance,WeightGroup,RedTotalFights,BlueTotalFights,HeightReachRatioDif,RedFinishRate,BlueFinishRate,RedWinRatio,BlueWinRatio,RedKOPerFight,BlueKOPerFight,RedSubPerFight,BlueSubPerFight,IsFiveRoundFight,OddsDif,label
0,0,0,0,0,1,0,2.5400000000000205,0.0,-8.0,-32.5,2.0,-0.3333,Closed Stance,Light,3,2,0.013888888888889062,0.0,1.0,0.3333333333333333,0.5,0.0,0.5,0.0,0.0,False,-480.0,1
0,0,-2,1,0,0,0,0.0,0.0,-5.0,1.58,1.6,2.15,Open Stance,Light,7,1,0.0,0.5,1.0,0.2857142857142857,1.0,0.14285714285714285,1.0,0.0,0.0,False,-250.0,1
0,0,1,0,-1,0,0,5.079999999999984,-2.539999999999992,6.0,-26.6667,0.0,-0.6667,Closed Stance,Light,3,0,0.04205231388329966,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,False,300.0,1
0,4,0,0,0,3,0,0.0,-7.6200000000000045,-6.0,-43.6,-0.2,-3.8,Closed Stance,Light,5,5,0.04615384615384621,0.2,0.8,1.0,1.0,0.2,0.8,0.0,0.0,True,450.0,1
0,1,0,0,0,1,-1,5.0800000000000125,-5.0800000000000125,3.0,3.0,1.2222,-2.3056,Closed Stance,Medium,9,4,0.051948051948052076,0.75,1.0,0.4444444444444444,0.75,0.1111111111111111,0.5,0.2222222222222222,0.25,False,240.0,0
0,0,1,0,0,1,0,5.0800000000000125,0.0,8.0,1.94,0.0,-1.0,Closed Stance,Light,2,4,0.028169014084507116,0.0,1.0,0.5,0.25,0.0,0.25,0.0,0.0,False,362.0,1
0,0,0,0,-1,-1,-2,2.5400000000000205,15.240000000000009,-5.0,-2.4167,-0.2778,2.9722,Closed Stance,Light,9,4,-0.07172264355362934,0.8,0.3333333333333333,0.5555555555555556,0.75,0.1111111111111111,0.0,0.3333333333333333,0.25,False,385.0,0
0,0,-1,5,3,-1,4,2.539999999999992,-2.539999999999992,-7.0,-1.0,1.2,0.93,Closed Stance,Women,11,5,0.028972783143107916,0.16666666666666666,0.8,0.5454545454545454,1.0,0.09090909090909091,0.0,0.0,0.8,False,-525.0,0
0,0,0,0,0,0,0,-5.0800000000000125,0.0,-9.0,27.0,2.0,0.0,Open Stance,Heavy,1,1,-0.025974025974025983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,755.0,1
0,0,-1,0,0,-1,0,0.0,0.0,8.0,17.5,-0.3333,0.1667,Closed Stance,Medium,3,6,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,False,440.0,0
0,0,-2,0,0,-2,1,-5.0800000000000125,0.0,3.0,2.6,-0.2444,0.9444,Closed Stance,Light,9,10,-0.02941176470588247,0.75,0.5,0.4444444444444444,0.4,0.3333333333333333,0.1,0.0,0.1,False,290.0,1
0,0,-1,5,0,0,0,7.6200000000000045,0.0,-1.0,2.7,0.7,-2.95,Open Stance,Light,12,9,0.0434782608695653,0.4444444444444444,0.5714285714285714,0.75,0.7777777777777778,0.08333333333333333,0.1111111111111111,0.25,0.3333333333333333,False,320.0,1
0,1,0,0,-2,0,-1,0.0,-10.159999999999997,-6.0,-1.9167,1.6667,-0.75,Closed Stance,Medium,12,1,0.05058905058905061,0.25,1.0,0.6666666666666666,1.0,0.0,0.0,0.16666666666666666,1.0,False,280.0,0
0,0,0,0,0,0,-1,-10.159999999999997,-7.6200000000000045,-4.0,-0.43,0.1,4.95,Closed Stance,Medium,1,2,-0.015320836337418875,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,False,0.0,1
1,0,0,0,-1,1,3,2.5400000000000205,5.079999999999984,8.0,-5.0234,0.0736,0.0033,Closed Stance,Medium,13,23,-0.01292687632645162,0.625,0.6,0.6153846153846154,0.6521739130434783,0.38461538461538464,0.2608695652173913,0.0,0.13043478260869565,False,270.0,0
0,0,2,1,-1,-1,0,-2.539999999999992,-2.539999999999992,1.0,24.25,0.0,0.5833,Closed Stance,Medium,6,4,-0.00019025875190259445,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,0.25,0.0,0.0,False,-250.0,1
0,1,0,-2,-2,-2,1,0.0,0.0,-2.0,-23.5,1.0,-0.3333,Open Stance,Light,6,1,0.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,1.0,False,490.0,1
0,1,0,0,-1,-2,0,10.159999999999997,10.159999999999997,-8.0,30.3333,-0.1667,0.0,Closed Stance,Heavy,6,2,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,False,314.0,0
0,0,0,1,0,-1,0,7.6200000000000045,12.699999999999989,-3.0,-0.97,0.0,2.95,Closed Stance,Light,9,8,-0.023809523809523725,0.6666666666666666,0.5,0.6666666666666666,0.75,0.3333333333333333,0.25,0.1111111111111111,0.125,False,-370.0,1
0,0,0,-5,-5,-6,1,0.0,-2.539999999999992,-4.0,-17.3214,-0.4107,-0.6518,Closed Stance,Medium,16,7,0.012972972972972951,0.8181818181818182,1.0,0.6875,0.5714285714285714,0.5,0.2857142857142857,0.0625,0.2857142857142857,True,-440.0,0
0,0,-1,1,0,-1,0,-12.699999999999989,-5.0800000000000125,-3.0,-3.61,0.0,0.52,Open Stance,Light,2,1,-0.04307001428863022,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,False,-580.0,0
4,0,-2,1,-1,-4,0,-7.6200000000000045,-12.699999999999989,7.0,-1.59,0.0,0.95,Open Stance,Medium,19,33,0.02476190476190465,0.9285714285714286,0.42857142857142855,0.7368421052631579,0.6363636363636364,0.42105263157894735,0.12121212121212122,0.2631578947368421,0.15151515151515152,True,-240.0,0
0,2,0,0,-1,0,0,0.0,-10.159999999999997,-2.0,-7.3333,0.0,-1.0,Closed Stance,Light,3,1,0.0547945205479452,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,False,320.0,1
0,0,0,-3,-3,0,-1,5.0800000000000125,-7.6200000000000045,-3.0,-57.0,-0.3333,-2.0,Open Stance,Light,3,0,0.07065217391304368,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,False,960.0,0
3,7,0,-1,-1,-3,4,0.0,-2.539999999999992,3.0,-24.631,0.2567,-1.6578,Closed Stance,Light,17,11,0.014486391571553958,0.4166666666666667,0.75,0.7058823529411765,0.7272727272727273,0.17647058823529413,0.0,0.11764705882352941,0.5454545454545454,True,975.0,0
0,0,2,-1,-1,0,0,-5.079999999999984,-5.0800000000000125,10.0,-1.54,-0.3,1.06,Open Stance,Women,1,2,-0.0009184845005738573,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,370.0,1
0,0,1,0,-1,-4,0,-2.539999999999992,2.5400000000000205,-3.0,-7.4462,0.3231,-0.2615,Closed Stance,Heavy,13,5,-0.02580314422419694,0.7142857142857143,0.3333333333333333,0.5384615384615384,0.6,0.3076923076923077,0.0,0.07692307692307693,0.2,False,720.0,0
4,0,1,-2,1,1,4,-5.0800000000000125,0.0,6.0,0.25,0.5,-3.3,Closed Stance,Light,8,34,-0.028571428571428692,0.6666666666666666,0.42857142857142855,0.75,0.6176470588235294,0.375,0.11764705882352941,0.125,0.14705882352941177,False,855.0,0
0,0,-1,-1,-1,0,-1,7.6200000000000045,15.23999999999998,13.0,63.5,-0.5,-1.0,Closed Stance,Heavy,2,1,-0.03749999999999987,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,False,535.0,0
0,0,0,0,0,0,0,-5.0800000000000125,5.079999999999984,5.0,0.0,0.0,0.0,Closed Stance,Medium,0,0,-0.05263157894736836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,290.0,1
0,0,0,-2,-2,0,0,15.240000000000009,17.78,-2.0,-94.0,-0.3333,-1.6667,Closed Stance,Women,3,0,-0.012856474988312216,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,False,210.0,0
0,1,0,-1,-1,0,0,-2.539999999999992,2.539999999999992,-2.0,10.5,0.0,5.5,Open Stance,Light,2,1,-0.02777777777777768,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,-310.0,1
0,0,-1,0,-3,0,-3,2.5400000000000205,2.5400000000000205,1.0,-1.1,-1.5,0.1,Open Stance,Light,4,0,0.0006211180124223725,1.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,False,775.0,0
0,0,-3,0,-1,0,-2,-5.0800000000000125,-7.6200000000000045,-6.0,-0.25,0.2,1.15,Closed Stance,Women,12,6,0.016393442622950838,0.5,0.3333333333333333,0.5,0.5,0.0,0.0,0.25,0.16666666666666666,False,-465.0,1
0,0,-1,5,0,-3,3,-2.539999999999992,-7.6200000000000045,-5.0,0.37,0.7,2.75,Open Stance,Heavy,15,5,0.025128205128205128,0.4444444444444444,0.8,0.6,1.0,0.26666666666666666,0.2,0.0,0.6,False,-585.0,0
0,0,0,-1,-1,0,0,5.0800000000000125,0.0,3.0,-56.0,-3.0,-1.0,Open Stance,Medium,1,0,0.02631578947368418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,620.0,0
0,0,-6,0,-2,-2,-1,-5.0800000000000125,-2.539999999999992,-9.0,1.8,-0.1,1.02,Closed Stance,Medium,23,7,-0.013693693693693776,0.6,0.75,0.43478260869565216,0.5714285714285714,0.21739130434782608,0.42857142857142855,0.043478260869565216,0.0,False,-1240.0,1
0,2,-1,2,0,1,-2,-5.0800000000000125,0.0,7.0,-4.5,-1.5,-1.85,Closed Stance,Heavy,6,17,-0.02564102564102566,1.0,0.36363636363636365,0.8333333333333334,0.6470588235294118,0.5,0.23529411764705882,0.3333333333333333,0.0,True,900.0,0
0,0,3,1,-2,1,-2,0.0,0.0,-4.0,-13.6667,-1.0,-0.1667,Open Stance,Medium,6,2,0.0,0.6666666666666666,1.0,0.5,0.5,0.0,0.5,0.3333333333333333,0.0,False,420.0,0
0,0,-1,0,1,1,0,5.0800000000000125,0.0,-7.0,-3.7857,-0.0357,-2.0,Open Stance,Light,7,4,0.028169014084507116,0.0,0.5,0.2857142857142857,0.5,0.0,0.25,0.0,0.0,False,-903.0,1
0,0,2,-1,2,0,0,2.539999999999992,5.079999999999984,8.0,-1.46,0.0,-3.39,Closed Stance,Light,2,7,-0.013312753231718988,1.0,0.25,0.5,0.5714285714285714,0.5,0.14285714285714285,0.0,0.0,False,4.0,0
0,1,1,1,-2,0,0,-2.539999999999992,-2.539999999999992,-1.0,107.25,-0.75,-0.25,Closed Stance,Women,4,2,-0.0004389815627743321,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,False,-393.0,0
2,3,0,-4,-6,-6,-8,2.539999999999992,10.159999999999997,-13.0,1.65,-0.7,-1.39,Closed Stance,Heavy,25,2,-0.03618421052631582,0.8421052631578947,1.0,0.76,1.0,0.32,1.0,0.32,0.0,True,-410.0,1
0,0,4,1,1,0,0,7.6200000000000045,22.860000000000014,-2.0,16.0,-0.25,3.0,Open Stance,Light,4,2,-0.08363636363636362,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,False,-580.0,1
0,0,0,-2,-2,-2,0,5.0800000000000125,0.03999999999999204,-6.0,-22.5,0.0,-1.0,Closed Stance,Medium,6,0,0.026814261069580292,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,False,-220.0,1
0,2,2,0,-1,0,-1,5.0800000000000125,2.539999999999992,-1.0,-29.0,-0.4286,-2.7143,Closed Stance,Women,7,0,0.016121031746031855,0.3333333333333333,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,False,240.0,0
0,0,0,-1,0,3,0,-2.539999999999992,2.539999999999992,-3.0,-29.0,0.375,0.625,Closed Stance,Light,8,8,-0.027967806841046272,0.0,0.75,0.5,0.5,0.0,0.375,0.0,0.0,False,365.0,1
0,0,1,0,-1,-1,2,0.0,0.0,6.0,-4.2333,0.5,-1.0667,Closed Stance,Light,5,6,0.0,0.6666666666666666,0.75,0.6,0.6666666666666666,0.4,0.16666666666666666,0.0,0.3333333333333333,False,-355.0,0
0,0,0,-2,-2,-2,0,7.6200000000000045,-2.5400000000000205,-4.0,-0.21,0.8,-0.95,Open Stance,Medium,4,3,0.05177717019822303,0.6666666666666666,0.0,0.75,0.6666666666666666,0.5,0.0,0.0,0.0,False,-284.0,0
0,0,0,0,0,-1,0,-5.0800000000000125,0.0,-2.0,-3.48,-1.2,-0.01,Closed Stance,Heavy,3,6,-0.02564102564102566,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,False,435.0,0
0,0,0,0,-1,-3,0,12.699999999999989,12.699999999999989,-4.0,12.6667,-0.1111,0.0,Open Stance,Heavy,9,1,0.0025658569962367928,0.75,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0.0,False,-460.0,0
0,0,0,-2,-2,0,-2,0.0,-7.6200000000000045,4.0,52.5,-0.75,1.5,Closed Stance,Medium,4,2,0.039444444444444504,1.0,1.0,0.75,0.5,0.25,0.5,0.5,0.0,False,230.0,0
0,0,-2,0,2,1,0,2.539999999999992,8.889999999999986,2.0,0.0,2.07,-2.17,Closed Stance,Medium,0,4,-0.03194192377495453,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,False,230.0,0
0,7,0,-8,-8,-7,-2,-2.5400000000000205,-7.6200000000000045,-2.0,-2.0,-0.2727,3.1039,Closed Stance,Medium,11,7,0.025447525447525376,0.8181818181818182,0.0,1.0,0.5714285714285714,0.6363636363636364,0.0,0.18181818181818182,0.0,True,870.0,0
1,2,0,0,-2,-2,-1,2.539999999999992,0.0,2.0,9.989,-0.8901,-1.2308,Closed Stance,Light,13,7,0.014285714285714235,0.625,0.6666666666666666,0.6153846153846154,0.42857142857142855,0.15384615384615385,0.0,0.23076923076923078,0.2857142857142857,False,460.0,1
0,0,0,0,0,0,2,2.5400000000000205,2.5400000000000205,0.0,-27.2083,0.7083,0.625,Closed Stance,Light,8,3,0.0006211180124223725,0.0,0.6666666666666666,0.75,1.0,0.0,0.0,0.0,0.6666666666666666,True,-330.0,0
1,6,0,0,0,-2,0,5.079999999999984,-5.0800000000000125,1.0,0.46,0.6,-1.27,Open Stance,Light,15,8,0.05756302521008405,0.6666666666666666,0.8,0.6,0.625,0.2,0.125,0.2,0.375,True,550.0,1
0,0,1,0,1,-1,-1,-12.699999999999989,-10.159999999999997,-2.0,-7.0,-0.7083,2.0,Closed Stance,Medium,8,6,-0.016338028169013974,1.0,0.5,0.5,0.6666666666666666,0.375,0.3333333333333333,0.125,0.0,False,-490.0,0
0,0,0,-1,-2,-1,-2,-2.5400000000000205,-7.619999999999976,0.0,-48.4211,-0.6842,-0.4737,Closed Stance,Light,19,0,0.02681017612524439,0.3333333333333333,0.0,0.47368421052631576,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,False,-535.0,1
0,0,1,0,-2,-1,0,-7.6200000000000045,-10.159999999999997,-4.0,-67.0,0.0,-0.6667,Closed Stance,Light,3,0,0.01388888888888884,0.5,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,False,370.0,0
0,0,0,-1,-1,-2,0,0.0,-2.5400000000000205,-3.0,-1.5,0.5,5.62,Closed Stance,Light,6,2,0.014078674948240333,0.6,0.5,0.8333333333333334,1.0,0.3333333333333333,0.0,0.16666666666666666,0.5,False,0.0,0
0,5,0,2,2,2,0,-10.159999999999997,-12.699999999999989,-2.0,-1.11,-0.3,0.76,Closed Stance,Medium,1,3,0.010947656517276694,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,400.0,0
0,0,1,-2,-2,-1,0,-7.6200000000000045,-17.78,3.0,-1.5,-1.3,-0.66,Closed Stance,Light,3,1,0.05555555555555558,0.5,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,False,700.0,0
0,0,1,1,-1,1,-1,15.23999999999998,5.079999999999984,-1.0,16.4167,-0.2083,-0.0417,Closed Stance,Light,3,8,0.056746031746031766,0.5,0.3333333333333333,0.6666666666666666,0.375,0.0,0.125,0.3333333333333333,0.0,False,560.0,1
0,0,0,-1,-1,-1,0,-2.539999999999992,-5.0800000000000125,3.0,-4.0,0.0,0.0,Open Stance,Medium,1,0,0.013138138138138244,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,985.0,1
0,0,0,-3,-3,0,-1,5.0800000000000125,5.079999999999984,6.0,-16.0,0.25,-0.75,Open Stance,Light,4,4,0.0007936507936510129,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.25,False,280.0,0
1,10,4,0,-1,-6,-1,-2.539999999999992,0.0,-8.0,0.0942,0.0725,0.3188,Closed Stance,Heavy,23,6,-0.013513513513513375,0.6428571428571429,0.4,0.6086956521739131,0.8333333333333334,0.34782608695652173,0.3333333333333333,0.043478260869565216,0.0,False,-1100.0,0
0,0,0,0,1,2,0,15.240000000000009,10.159999999999997,-2.0,-3.66,0.0,-1.62,Closed Stance,Medium,1,7,0.03011583011583019,0.0,0.6666666666666666,1.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,False,10.0,1
0,1,0,3,2,1,0,5.0800000000000125,10.160000000000025,4.0,-2.55,0.0,0.6,Closed Stance,Medium,5,4,-0.02526240882405273,0.3333333333333333,0.5,0.6,1.0,0.2,0.5,0.0,0.0,False,-355.0,0
0,2,0,-4,-3,1,-2,0.0,7.619999999999976,-5.0,6.4,-0.2,1.0,Closed Stance,Heavy,10,10,-0.03701298701298683,0.75,0.625,0.8,0.8,0.4,0.5,0.2,0.0,True,345.0,1
0,0,0,0,-1,0,0,0.0,2.539999999999992,4.0,25.0,0.0,-2.3333,Closed Stance,Heavy,3,1,-0.012487512487512453,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,False,0.0,1
