RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FinishRound,FinishRoundTime,TotalFightTimeSecs,label
Lando Vannata,Daniel Zellhuber,108.0,-130.0,108.0,76.9231,2023-04-15,"Kansas City, Missouri, USA",USA,False,Lightweight,MALE,3,1,0,0,5.86,0.41,0.2,0.22,0.33,1,1,6,0,0,0,1,0,0,0,1,Switch,185.42,195.58,155,1,0,2,4.52,0.45,0.3,1.09,0.37,1,6,29,0,0,1,1,1,1,0,4,Orthodox,175.26,180.34,155,31,23,0,0,0,-3,-5,-23,0,-1,-1,10.16,15.24,-8,1.34,-0.1,-0.87,neither,U-DEC,3.0,5:00,900.0,1
Bruna Brasil,Denise Gomes,-156.0,132.0,64.1026,132.0,2023-04-15,"Kansas City, Missouri, USA",USA,False,Women's Strawweight,FEMALE,3,1,0,0,4.48,0.49,0.9,0.88,0.3,1,1,6,0,0,0,1,0,0,0,1,Orthodox,157.48,160.02,115,0,1,0,2.94,0.61,0.0,1.93,0.72,1,0,2,0,0,0,0,1,0,0,1,Orthodox,167.64,165.1,115,29,23,1,-1,0,0,1,4,0,-1,0,-10.16,-5.08,-6,1.54,0.9,-1.05,neither,KO/TKO,2.0,2:42,462.0,1
Aaron Phillips,Gaston Bolanos,160.0,-190.0,160.0,52.6316,2023-04-15,"Kansas City, Missouri, USA",USA,False,Bantamweight,MALE,3,0,0,0,3.88,0.43,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,135,3,0,0,1.51,0.53,0.6,0.86,0.5,0,3,8,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,135,33,30,-3,0,0,0,-3,-8,0,0,0,-5.08,-5.08,-3,2.37,-0.6,-0.86,neither,U-DEC,3.0,5:00,900.0,1
Joselyne Edwards,Lucie Pudilova,114.0,-134.0,114.0,74.6269,2023-04-15,"Kansas City, Missouri, USA",USA,False,Women's Bantamweight,FEMALE,3,0,1,0,3.6,0.37,0.6,0.7,0.31,2,5,22,0,0,0,2,1,0,0,3,Orthodox,172.72,170.18,125,0,2,0,4.35,0.51,0.4,0.88,0.33,2,2,15,0,0,1,2,0,0,0,3,Orthodox,172.72,177.8,135,27,28,0,-1,0,0,3,7,0,1,0,0.0,-7.62,1,-0.75,0.2,-0.18,neither,S-DEC,3.0,5:00,900.0,0
Gilbert Burns,Jorge Masvidal,-450.0,360.0,22.2222,360.0,2023-04-08,"Miami, Florida, USA",USA,False,Welterweight,MALE,3,3,0,0,4.05,0.47,0.3,1.38,0.59,4,10,77,3,0,1,8,7,1,0,17,Orthodox,180.34,187.96,170,0,1,0,3.29,0.48,0.5,2.24,0.38,6,5,46,1,0,0,6,3,5,0,14,Orthodox,177.8,180.34,170,36,38,3,-1,-2,3,5,31,2,4,-4,2.54,7.62,2,0.76,-0.2,-0.86,Red,U-DEC,3.0,5:00,900.0,0
Rob Font,Adrian Yanez,176.0,-210.0,176.0,47.619,2023-04-08,"Miami, Florida, USA",USA,False,Bantamweight,MALE,3,0,6,0,6.51,0.41,0.0,0.0,0.0,6,0,11,0,0,1,0,5,0,0,6,Orthodox,170.18,177.8,135,2,0,0,5.53,0.45,0.3,0.89,0.35,4,5,37,0,0,0,3,5,1,0,9,Orthodox,172.72,180.34,135,35,29,-2,6,2,-3,-5,-26,0,0,-1,-2.54,-2.54,-6,0.98,-0.3,-0.89,Red,KO/TKO,1.0,2:57,177.0,0
Kevin Holland,Santiago Ponzinibbio,-260.0,215.0,38.4615,215.0,2023-04-08,"Miami, Florida, USA",USA,False,Welterweight,MALE,3,0,1,0,4.74,0.41,0.0,0.59,0.32,7,5,38,0,0,0,5,6,0,0,11,Orthodox,182.88,185.42,170,2,0,0,4.25,0.49,0.6,0.84,0.38,5,6,46,0,0,2,2,4,3,0,11,Orthodox,190.5,205.74,185,30,36,-2,1,2,0,-1,-8,0,2,-3,-7.62,-20.32,6,0.49,-0.6,-0.25,neither,KO/TKO,3.0,3:16,796.0,0
Raul Rosas Jr.,Christian Rodriguez,-270.0,220.0,37.037,220.0,2023-04-08,"Miami, Florida, USA",USA,False,Bantamweight,MALE,3,0,1,0,3.65,0.47,1.1,1.07,0.54,1,1,7,0,0,0,1,0,1,0,2,Orthodox,170.18,180.34,145,0,2,0,1.12,0.43,1.8,4.39,0.38,2,0,4,0,0,0,1,0,1,0,2,Switch,175.26,170.18,135,18,25,0,-1,-1,0,1,3,0,0,0,-5.08,10.16,7,2.53,-0.7,-3.32,neither,U-DEC,3.0,5:00,900.0,1
Chris Curtis,Kelvin Gastelum,110.0,-130.0,110.0,76.9231,2023-04-08,"Miami, Florida, USA",USA,False,Middleweight,MALE,3,2,0,0,3.74,0.42,0.1,1.1,0.34,5,8,57,2,0,3,3,3,2,0,11,Southpaw,175.26,180.34,170,0,1,0,5.76,0.51,0.0,0.0,0.0,4,1,14,0,0,0,1,4,0,0,5,Orthodox,177.8,190.5,185,35,31,2,-1,1,6,7,43,2,-1,2,-2.54,-10.16,-4,-2.02,0.1,1.1,Red,U-DEC,3.0,5:00,900.0,1
Michelle Waterson-Gomez,Luana Pinheiro,132.0,-156.0,132.0,64.1026,2023-04-08,"Miami, Florida, USA",USA,False,Women's Strawweight,FEMALE,3,0,3,0,3.57,0.4,0.2,2.24,0.33,3,0,5,0,0,0,1,1,0,0,3,Orthodox,157.48,157.48,115,2,0,0,3.42,0.46,0.6,1.39,0.33,4,6,43,0,0,2,2,0,4,0,8,Orthodox,160.02,157.48,115,37,30,-2,3,-1,-5,-6,-38,0,1,-4,-2.54,0.0,-7,0.15,-0.4,0.85,Red,S-DEC,3.0,5:00,900.0,1
Gerald Meerschaert,Joe Pyfer,172.0,-205.0,172.0,48.7805,2023-04-08,"Miami, Florida, USA",USA,False,Middleweight,MALE,3,0,2,0,3.72,0.41,0.9,1.45,0.41,2,1,4,0,0,0,0,2,0,0,2,Orthodox,187.96,190.5,185,0,1,0,3.13,0.45,1.6,2.14,0.36,3,7,35,0,0,0,0,1,9,0,10,Southpaw,185.42,195.58,185,35,26,0,1,-1,-8,-6,-31,0,1,-9,2.54,-5.08,-9,0.59,-0.7,-0.69,neither,KO/TKO,1.0,3:15,195.0,1
Cynthia Calvillo,Loopy Godinez,210.0,-255.0,210.0,39.2157,2023-04-08,"Miami, Florida, USA",USA,False,Women's Strawweight,FEMALE,3,1,0,0,4.16,0.48,1.0,2.95,0.47,2,3,16,0,0,0,2,0,1,0,3,Orthodox,157.48,154.94,115,4,0,1,4.41,0.38,0.8,1.8,0.44,3,5,31,0,0,0,3,0,3,0,6,Orthodox,162.56,162.56,115,35,29,-3,0,-1,-3,-2,-15,0,0,-2,-5.08,-7.62,-6,-0.25,0.2,1.15,neither,S-DEC,3.0,5:00,900.0,1
Ignacio Bahamondes,Trey Ogden,-390.0,310.0,25.641,310.0,2023-04-08,"Miami, Florida, USA",USA,False,Catch Weight,MALE,3,0,1,0,3.07,0.48,0.8,2.04,0.3,1,1,6,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,155,0,2,0,7.15,0.46,0.4,0.0,0.0,2,1,11,0,0,0,0,2,1,0,3,Orthodox,190.5,190.5,155,25,33,0,-1,-1,-2,0,-5,0,-2,-1,-10.16,-7.62,8,-4.08,0.4,2.04,neither,U-DEC,3.0,5:00,900.0,0
Shayilan Nuerdanbieke,Steve Garcia,-172.0,144.0,58.1395,144.0,2023-04-08,"Miami, Florida, USA",USA,False,Featherweight,MALE,3,0,1,0,5.0,0.56,0.6,1.27,0.4,1,2,8,0,0,0,0,3,0,0,3,Southpaw,182.88,190.5,145,0,3,0,1.95,0.45,0.2,3.3,0.35,3,1,10,0,0,0,2,1,0,0,3,Orthodox,172.72,175.26,145,28,30,0,-2,-2,0,1,-2,0,2,0,10.16,15.24,2,3.05,0.4,-2.03,neither,KO/TKO,2.0,0:36,336.0,1
Jaqueline Amorim,Sam Hughes,-270.0,220.0,37.037,220.0,2023-04-08,"Miami, Florida, USA",USA,False,Women's Strawweight,FEMALE,3,1,0,0,4.33,0.46,0.0,0.85,0.3,2,4,16,0,1,0,0,1,0,0,2,Orthodox,165.1,162.56,115,0,0,0,3.33,0.52,5.4,1.48,0.23,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,172.72,115,27,30,1,0,2,2,4,16,0,1,0,5.08,-10.16,3,1.0,-5.4,-0.63,neither,U-DEC,3.0,5:00,900.0,1
Marlon Vera,Cory Sandhagen,116.0,-136.0,116.0,73.5294,2023-03-25,"San Antonio, Texas, USA",USA,False,Bantamweight,MALE,5,0,1,0,5.02,0.44,0.3,1.19,0.32,5,3,29,1,0,1,1,5,1,0,8,Switch,180.34,177.8,135,0,4,0,4.27,0.49,0.8,0.51,0.39,5,6,53,1,0,0,3,7,4,0,14,Switch,172.72,177.8,135,30,30,0,-3,0,-6,-3,-24,0,-2,-3,7.62,0.0,0,0.75,-0.5,0.68,Red,S-DEC,5.0,5:00,1500.0,1
Holly Holm,Yana Santos,-245.0,200.0,40.8163,200.0,2023-03-25,"San Antonio, Texas, USA",USA,False,Women's Bantamweight,FEMALE,3,1,0,0,4.42,0.58,0.1,0.97,0.53,2,3,17,1,0,0,4,0,0,0,4,Orthodox,167.64,172.72,135,1,0,0,3.13,0.4,0.1,0.87,0.3,3,6,48,5,0,1,4,2,0,0,7,Southpaw,172.72,175.26,135,41,33,0,0,-1,-3,-3,-31,-4,-2,0,-5.08,-2.54,-8,1.29,0.0,0.1,Red,U-DEC,3.0,5:00,900.0,0
Nate Landwehr,Austin Lingo,-215.0,180.0,46.5116,180.0,2023-03-25,"San Antonio, Texas, USA",USA,False,Featherweight,MALE,3,0,2,0,3.86,0.37,0.0,0.43,0.66,2,1,9,0,0,0,2,0,0,0,2,Orthodox,177.8,177.8,145,0,2,0,6.25,0.46,1.0,1.0,0.41,2,2,11,0,1,0,1,0,1,0,3,Orthodox,175.26,182.88,145,34,28,0,0,0,-1,-1,-2,0,0,-1,2.54,-5.08,-6,-2.39,-1.0,-0.57,neither,SUB,2.0,4:11,551.0,0
Andrea Lee,Maycee Barber,220.0,-270.0,220.0,37.037,2023-03-25,"San Antonio, Texas, USA",USA,False,Women's Flyweight,FEMALE,3,0,3,0,4.7,0.53,0.1,1.44,0.43,4,2,23,0,0,1,2,4,0,0,7,Switch,165.1,165.1,125,1,0,0,4.71,0.46,0.6,1.7,0.55,3,4,25,0,0,0,3,1,1,0,5,Orthodox,167.64,175.26,125,34,24,-1,3,1,2,-2,-2,0,3,-1,-2.54,-10.16,-10,-0.01,-0.5,-0.26,Red,S-DEC,3.0,5:00,900.0,1
Chidi Njokuani,Albert Duraev,-162.0,134.0,61.7284,134.0,2023-03-25,"San Antonio, Texas, USA",USA,False,Middleweight,MALE,3,1,0,0,2.99,0.4,0.6,1.97,0.29,2,1,6,0,0,0,1,0,1,0,2,Orthodox,180.34,190.5,185,1,0,0,4.09,0.61,0.2,0.0,0.0,3,1,7,0,0,0,0,3,0,0,3,Orthodox,190.5,203.2,170,34,34,0,0,-1,-1,0,-1,0,-3,1,-10.16,-12.7,0,-1.1,0.4,1.97,neither,S-DEC,3.0,5:00,900.0,1
Daniel Pineda,Tucker Lutz,250.0,-310.0,250.0,32.2581,2023-03-25,"San Antonio, Texas, USA",USA,False,Featherweight,MALE,3,1,0,0,3.74,0.46,0.2,1.99,0.44,3,1,12,0,0,0,3,0,0,0,3,Orthodox,172.72,182.88,145,1,0,0,2.96,0.48,1.5,1.61,0.24,2,5,19,0,0,0,0,1,3,0,4,Orthodox,170.18,175.26,145,37,28,0,0,1,-1,-4,-7,0,-1,-3,2.54,7.62,-9,0.78,-1.3,0.38,neither,SUB,2.0,2:50,470.0,0
Steven Peterson,Lucas Alexander,-164.0,138.0,60.9756,138.0,2023-03-25,"San Antonio, Texas, USA",USA,False,Featherweight,MALE,3,1,0,0,5.23,0.55,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,145,1,0,0,4.76,0.4,0.7,1.42,0.26,2,5,23,0,0,1,1,1,0,0,3,Orthodox,177.8,177.8,145,32,27,0,0,-2,-3,-4,-22,0,-1,0,2.54,7.62,-5,0.47,-0.7,-1.42,neither,U-DEC,3.0,5:00,900.0,1
Trevin Giles,Preston Parsons,102.0,-120.0,102.0,83.3333,2023-03-25,"San Antonio, Texas, USA",USA,False,Welterweight,MALE,3,0,1,0,3.5,0.51,2.4,3.53,0.36,1,1,4,0,0,0,1,0,0,0,1,Orthodox,180.34,180.34,170,0,1,0,3.27,0.55,0.3,1.19,0.5,3,4,26,0,0,1,2,3,0,0,6,Orthodox,182.88,187.96,170,30,27,0,0,-2,-5,-3,-22,0,-3,0,-2.54,-7.62,-3,0.23,2.1,2.34,neither,S-DEC,3.0,5:00,900.0,0
Victor Altamirano,Vinicius Salvador,-104.0,-112.0,96.1538,89.2857,2023-03-25,"San Antonio, Texas, USA",USA,False,Flyweight,MALE,3,0,1,0,5.48,0.43,0.0,0.36,0.11,1,0,2,0,0,0,0,1,0,0,1,Southpaw,170.18,177.8,135,0,1,0,4.55,0.57,0.0,3.43,0.39,1,1,7,0,0,1,0,1,0,0,2,Switch,172.72,177.8,125,32,26,0,0,0,-1,-1,-5,0,0,0,-2.54,0.0,-6,0.93,0.0,-3.07,neither,U-DEC,3.0,5:00,900.0,0
Leon Edwards,Kamaru Usman,205.0,-245.0,205.0,40.8163,2023-03-18,"London, England, United Kingdom",United Kingdom,True,Welterweight,MALE,5,1,0,0,4.36,0.52,0.1,2.82,0.45,15,1,58,8,0,0,10,4,1,0,15,Switch,182.88,193.04,170,0,10,0,2.68,0.53,0.4,1.25,0.36,10,2,50,3,0,1,7,3,1,0,12,Southpaw,187.96,187.96,170,31,35,1,-10,5,3,-1,8,5,1,0,-5.08,5.08,4,1.68,-0.3,1.57,Red,M-DEC,5.0,5:00,1500.0,0
Justin Gaethje,Rafael Fiziev,205.0,-250.0,205.0,40.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Lightweight,MALE,3,0,6,0,4.9,0.51,0.0,0.29,0.4,6,1,19,0,0,0,3,3,0,0,6,Switch,172.72,180.34,155,1,0,0,6.78,0.59,0.0,0.11,0.25,4,4,23,2,0,0,1,5,0,0,6,Orthodox,180.34,177.8,155,34,30,-1,6,2,0,-3,-4,-2,-2,0,-7.62,2.54,-4,-1.88,0.0,0.18,Red,M-DEC,3.0,5:00,900.0,0
Gunnar Nelson,Bryan Barberena,-350.0,310.0,28.5714,310.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Welterweight,MALE,3,1,0,0,5.35,0.48,0.3,0.13,0.22,3,7,41,0,0,1,3,4,1,0,9,Southpaw,182.88,182.88,185,0,1,0,1.84,0.61,1.0,1.9,0.59,4,5,32,0,0,0,2,0,7,0,9,Switch,180.34,182.88,170,34,33,1,-1,-1,0,2,9,0,4,-6,2.54,0.0,-1,3.51,-0.7,-1.77,neither,SUB,1.0,4:51,291.0,0
Jennifer Maia,Casey O'Neill,154.0,-184.0,154.0,54.3478,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Women's Flyweight,FEMALE,3,0,4,0,7.89,0.52,0.7,1.45,0.34,4,0,10,0,0,1,0,2,1,0,4,Orthodox,167.64,175.26,125,0,1,0,4.35,0.38,0.1,0.42,0.27,2,5,30,1,0,0,4,0,1,0,5,Orthodox,162.56,162.56,125,34,25,0,3,2,-1,-5,-20,-1,2,0,5.08,12.7,-9,3.54,0.6,1.03,Red,U-DEC,3.0,5:00,900.0,0
Marvin Vettori,Roman Dolidze,-250.0,205.0,40.0,205.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Middleweight,MALE,3,0,4,0,3.13,0.42,1.1,1.26,0.4,4,1,14,0,0,1,1,4,0,0,6,Orthodox,187.96,193.04,185,1,0,1,4.56,0.45,0.5,1.66,0.45,5,4,43,1,0,0,6,0,2,0,8,Southpaw,182.88,187.96,185,29,34,-1,4,-1,-2,-3,-29,-1,4,-2,5.08,5.08,5,-1.43,0.6,-0.4,Red,U-DEC,3.0,5:00,900.0,0
Jack Shore,Makwan Amirkhani,-560.0,420.0,17.8571,420.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Featherweight,MALE,3,1,0,0,1.33,0.44,1.1,3.96,0.43,3,6,28,0,0,1,1,1,4,0,7,Southpaw,177.8,182.88,145,1,0,0,3.75,0.58,0.7,3.1,0.38,5,1,16,0,0,1,2,0,2,0,5,Orthodox,172.72,180.34,145,28,34,0,0,-2,2,5,12,0,1,2,5.08,2.54,6,-2.42,0.4,0.86,neither,SUB,2.0,4:27,567.0,0
Chris Duncan,Omar Morales,-110.0,-106.0,90.9091,94.3396,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Lightweight,MALE,3,2,0,0,3.42,0.4,0.0,0.46,1.0,3,3,18,0,0,0,3,1,0,0,4,Orthodox,180.34,185.42,155,0,1,0,4.88,0.46,0.0,3.85,0.38,1,1,3,0,0,0,0,1,0,0,1,Orthodox,177.8,180.34,155,29,37,2,-1,2,3,2,15,0,0,0,2.54,5.08,8,-1.46,0.0,-3.39,neither,S-DEC,3.0,5:00,900.0,0
Sam Patterson,Yanal Ashmouz,-290.0,235.0,34.4828,235.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Lightweight,MALE,3,0,0,0,3.08,0.42,0.0,0.92,0.5,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,155,0,1,0,2.66,0.37,3.9,1.94,1.0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,190.5,198.12,170,26,27,0,-1,-1,-1,0,-2,0,0,-1,-15.24,-25.4,1,0.42,-3.9,-1.02,neither,KO/TKO,1.0,1:15,75.0,1
Muhammad Mokaev,Jafel Filho,-850.0,590.0,11.7647,590.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Flyweight,MALE,3,0,1,0,2.36,0.41,2.6,1.77,0.33,1,0,3,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,125,0,3,0,1.61,0.45,0.8,5.29,0.41,3,0,7,0,0,0,1,0,2,0,3,Orthodox,170.18,177.8,125,22,29,0,-2,-2,-2,0,-4,0,1,-2,0.0,-5.08,7,0.75,1.8,-3.52,Red,SUB,3.0,4:32,872.0,0
Lerone Murphy,Gabriel Santos,-180.0,152.0,55.5556,152.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Featherweight,MALE,3,0,0,0,4.46,0.55,1.2,4.34,0.46,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,145,0,3,1,5.01,0.54,0.6,1.59,0.52,3,0,9,0,0,0,1,2,0,0,3,Orthodox,175.26,185.42,145,31,26,0,-3,-3,-3,0,-9,0,-2,0,0.0,-7.62,-5,-0.55,0.6,2.75,neither,S-DEC,3.0,5:00,900.0,0
Christian Leroy Duncan,Dusko Todorovic,-110.0,205.0,90.9091,205.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Middleweight,MALE,3,0,1,0,5.54,0.57,0.0,0.96,0.12,2,3,13,0,0,0,1,3,0,0,4,Orthodox,185.42,187.96,185,0,0,0,4.71,0.62,0.0,0.31,0.14,0,0,0,0,0,0,0,0,0,0,0,Switch,187.96,200.66,185,27,28,0,1,2,4,3,13,0,3,0,-2.54,-12.7,1,0.83,0.0,0.65,neither,KO/TKO,1.0,1:52,112.0,0
Jake Hadley,Malcolm Gordon,-530.0,360.0,18.8679,360.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Flyweight,MALE,3,1,0,0,2.5,0.45,1.0,1.72,0.35,2,3,9,0,0,0,1,1,0,0,2,Switch,170.18,180.34,125,0,1,0,3.76,0.44,1.4,0.2,0.06,1,1,7,0,0,0,0,0,2,0,2,Southpaw,170.18,177.8,125,26,32,1,-1,1,0,2,2,0,1,-2,0.0,2.54,6,-1.26,-0.4,1.52,neither,KO/TKO,1.0,1:01,61.0,0
Joanne Wood,Luana Carolina,-245.0,186.0,40.8163,186.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Women's Flyweight,FEMALE,3,1,0,0,4.81,0.5,0.6,0.34,0.37,2,2,16,0,0,1,3,0,0,0,4,Orthodox,167.64,175.26,125,3,0,0,7.1,0.51,0.3,1.52,0.55,2,8,33,0,0,1,4,1,1,0,7,Orthodox,167.64,165.1,125,37,29,-2,0,0,-3,-6,-17,0,-1,-1,0.0,10.16,-8,-2.29,0.3,-1.18,neither,S-DEC,3.0,5:00,900.0,0
Juliana Miller,Veronica Hardy,-350.0,280.0,28.5714,280.0,2023-03-18,"London, England, United Kingdom",United Kingdom,False,Women's Flyweight,FEMALE,3,1,0,0,3.13,0.45,0.3,1.08,0.41,1,4,12,0,0,0,0,0,1,0,1,Southpaw,162.56,162.56,125,0,1,0,3.31,0.45,1.8,1.84,0.44,1,0,3,0,0,0,0,1,0,0,1,Orthodox,170.18,167.64,125,26,27,1,-1,0,0,4,9,0,-1,1,-7.62,-5.08,1,-0.18,-1.5,-0.76,neither,U-DEC,3.0,5:00,900.0,1
Petr Yan,Merab Dvalishvili,-255.0,210.0,39.2157,210.0,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Bantamweight,MALE,5,0,8,0,4.5,0.41,0.3,6.43,0.36,8,2,29,0,0,0,7,1,0,0,8,Orthodox,167.64,172.72,135,2,0,0,5.14,0.53,0.1,1.73,0.51,7,3,37,4,0,0,4,4,0,0,8,Switch,170.18,170.18,135,30,32,-2,8,1,0,-1,-8,-4,-3,0,-2.54,2.54,2,-0.64,0.2,4.7,Red,U-DEC,5.0,5:00,1500.0,1
Alexander Volkov,Alexandr Romanov,124.0,-146.0,124.0,68.4932,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,1,0,0,3.94,0.52,0.8,4.17,0.54,5,1,12,0,0,1,0,1,3,0,5,Southpaw,187.96,190.5,262,0,1,0,5.13,0.57,0.2,0.45,0.63,4,4,38,0,0,1,3,5,0,0,9,Orthodox,200.66,203.2,250,34,32,1,-1,1,-4,-3,-26,0,-4,3,-12.7,-12.7,-2,-1.19,0.6,3.72,Red,KO/TKO,1.0,2:16,136.0,0
Nikita Krylov,Ryan Spann,-168.0,142.0,59.5238,142.0,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Catch Weight,MALE,3,0,2,0,3.25,0.4,1.5,1.34,0.35,5,3,16,0,0,1,1,3,3,0,8,Orthodox,195.58,200.66,205,0,2,0,4.38,0.55,1.4,2.29,0.38,5,7,31,0,0,0,2,4,4,0,10,Orthodox,190.5,195.58,205,31,31,0,0,0,-2,-4,-15,0,-1,-1,5.08,5.08,0,-1.13,0.1,-0.95,neither,SUB,1.0,3:38,218.0,0
Said Nurmagomedov,Jonathan Martinez,-240.0,198.0,41.6667,198.0,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Bantamweight,MALE,3,0,4,0,4.54,0.49,0.1,0.41,0.35,4,3,31,0,0,0,5,3,0,0,8,Southpaw,172.72,177.8,135,0,4,0,3.55,0.47,1.4,1.01,0.16,4,1,14,0,0,1,1,2,2,0,6,Orthodox,172.72,177.8,135,30,28,0,0,0,2,2,17,0,1,-2,0.0,0.0,-2,0.99,-1.3,-0.6,neither,U-DEC,3.0,5:00,900.0,1
Mario Bautista,Guido Cannetti,-1200.0,750.0,8.3333,750.0,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Bantamweight,MALE,3,0,2,0,3.44,0.55,0.4,2.27,0.55,2,5,17,0,0,0,2,1,1,0,4,Southpaw,167.64,172.72,135,0,3,0,5.69,0.48,1.0,2.25,0.44,3,2,13,0,0,0,2,1,2,0,5,Switch,175.26,175.26,135,29,43,0,-1,-1,-1,3,4,0,0,-1,-7.62,-2.54,14,-2.25,-0.6,0.02,neither,SUB,1.0,3:18,198.0,0
Vitor Petrino,Anton Turkalj,-120.0,102.0,83.3333,102.0,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Light Heavyweight,MALE,3,1,0,0,2.45,0.42,0.0,4.98,0.41,1,1,4,0,0,0,1,0,0,0,1,Orthodox,193.04,198.12,205,0,1,0,2.82,0.45,0.8,3.98,0.66,1,0,2,0,0,0,0,1,0,0,1,Orthodox,187.96,195.58,205,25,26,1,-1,0,0,1,2,0,-1,0,5.08,2.54,1,-0.37,-0.8,1.0,neither,U-DEC,3.0,5:00,900.0,0
Karl Williams,Lukasz Brzeski,-260.0,215.0,38.4615,215.0,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,1,0,0,4.9,0.5,0.5,0.46,0.5,1,1,6,0,0,0,0,0,1,0,1,Orthodox,193.04,198.12,236,0,1,0,2.68,0.48,0.2,4.2,0.48,1,0,3,0,0,0,1,0,0,0,1,Orthodox,190.5,200.66,235,33,30,1,-1,0,0,1,3,0,0,1,2.54,-2.54,-3,2.22,0.3,-3.74,neither,U-DEC,3.0,5:00,900.0,0
Raphael Assuncao,Davey Grant,116.0,-136.0,116.0,73.5294,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Bantamweight,MALE,3,0,1,0,4.77,0.42,0.2,1.26,0.41,3,5,26,1,0,1,1,3,0,0,5,Orthodox,172.72,175.26,135,0,1,0,3.22,0.42,0.2,1.65,0.39,7,8,61,0,0,4,8,2,1,0,15,Orthodox,165.1,167.64,135,40,37,0,0,-4,-10,-3,-35,1,1,-1,7.62,7.62,-3,1.55,0.0,-0.39,neither,SUB,3.0,4:43,883.0,1
Sedriques Dumas,Josh Fremd,-250.0,205.0,40.0,205.0,2023-03-11,"Las Vegas, Nevada, USA",USA,False,Middleweight,MALE,3,2,0,0,2.52,0.44,1.1,0.66,0.25,0,2,5,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,185,0,1,0,2.15,0.48,0.3,1.31,0.35,1,0,1,0,0,0,0,0,1,0,1,Orthodox,187.96,200.66,185,27,29,2,-1,-1,-1,2,4,0,0,-1,5.08,-7.62,2,0.37,0.8,-0.65,neither,SUB,2.0,3:00,480.0,1
